registry_id,timestamp,p13_abs_kw,p30_abs_kw,first_membership_id
REG_000266,2010-07-01 07:30:00,-262.521377359048,3037.0554402183,CAL_000235
REG_000267,2010-07-01 07:30:00,-255.998448671316,-1570.24296466183,CAL_000512
REG_000268,2010-07-01 07:30:00,-242.396402683985,3027.16494644132,CAL_000234
REG_000269,2010-07-01 07:30:00,-241.866744603799,-1576.3621904314,CAL_000513
REG_000270,2010-07-01 07:30:00,-227.768564963514,-1582.46689965449,CAL_000514
REG_000271,2010-07-01 07:30:00,-222.578311130797,3017.42527151785,CAL_000233
REG_000272,2010-07-01 07:30:00,-213.70165067663,-1588.5580705417,CAL_000515
REG_000273,2010-07-01 07:30:00,-203.057185717683,3007.83154171022,CAL_000232
REG_000274,2010-07-01 07:30:00,-199.663762182893,-1594.63667285398,CAL_000516
REG_000275,2010-07-01 07:30:00,-185.652677980138,-1600.70366853288,CAL_000517
REG_000276,2010-07-01 07:30:00,-183.8234936056,2998.37907206918,CAL_000231
REG_000277,2010-07-01 07:30:00,-171.666193192845,-1606.76001232038,CAL_000518
REG_000278,2010-07-01 07:30:00,-164.868066940232,2989.06335701857,CAL_000230
REG_000279,2010-07-01 07:30:00,-157.702118162756,-1612.80665236918,CAL_000519
REG_000280,2010-07-01 07:30:00,-146.182084813,2979.88006149,CAL_000229
REG_000281,2010-07-01 07:30:00,-143.758277059599,-1618.84453084425,CAL_000520
REG_000282,2010-07-01 07:30:00,-129.832506510029,-1624.87458451654,CAL_000521
REG_000283,2010-07-01 07:30:00,-127.804111519105,2971.01618368442,CAL_000228
REG_000284,2010-07-01 07:30:00,-115.922654242928,-1630.8977453496,CAL_000522
REG_000285,2010-07-01 07:30:00,-109.675347786052,2962.27250210831,CAL_000227
REG_000286,2010-07-01 07:30:00,-101.997349205033,-1636.79619443638,CAL_000524
REG_000287,2010-07-01 07:30:00,-91.7880527673654,2953.64528327506,CAL_000226
REG_000288,2010-07-01 07:30:00,-88.0851772360375,-1642.68908064764,CAL_000525
REG_000289,2010-07-01 07:30:00,-74.184003547672,-1648.57730823218,CAL_000526
REG_000290,2010-07-01 07:30:00,-74.1347630697238,2945.13092751645,CAL_000225
REG_000291,2010-07-01 07:30:00,-60.2917000739484,-1654.46177859133,CAL_000527
REG_000292,2010-07-01 07:30:00,-56.7082796851986,2936.72596267995,CAL_000224
REG_000293,2010-07-01 07:30:00,-46.406144164661,-1660.34339083247,CAL_000528
REG_000294,2010-07-01 07:30:00,-39.501655637854,2928.42703817052,CAL_000223
REG_000295,2010-07-01 07:30:00,-32.5252172859125,-1666.22304231936,CAL_000529
REG_000296,2010-07-01 07:30:00,-22.5081842992052,2920.2309193151,CAL_000222
REG_000297,2010-07-01 07:30:00,-18.6468037259828,-1672.10162922037,CAL_000530
REG_000298,2010-07-01 07:30:00,-5.72138833018381,2912.13448202917,CAL_000221
REG_000299,2010-07-01 07:30:00,-4.76878930485262,-1677.98004705508,CAL_000531
REG_000300,2010-07-01 07:30:00,0,-1680,CAL_000532
REG_000301,2010-07-01 07:30:00,0,2909.375,CAL_000220
REG_000302,2010-07-01 07:30:00,5.41992410503132,2906.8200699187,CAL_000219
REG_000303,2010-07-01 07:30:00,9.12691566298364,-1683.77631390547,CAL_000533
REG_000304,2010-07-01 07:30:00,10.8398482100626,2904.26513983739,CAL_000218
REG_000305,2010-07-01 07:30:00,14.9289524248969,2902.33755281558,CAL_000217
REG_000306,2010-07-01 07:30:00,19.0180566397311,2900.40996579377,CAL_000216
REG_000307,2010-07-01 07:30:00,23.0335534941897,-1689.53026537817,CAL_000534
REG_000308,2010-07-01 07:30:00,23.1071608545653,2898.48237877195,CAL_000215
REG_000309,2010-07-01 07:30:00,27.1962650693996,2896.55479175014,CAL_000214
REG_000310,2010-07-01 07:30:00,36.9446193214891,-1695.28604895976,CAL_000535
REG_000311,2010-07-01 07:30:00,43.3691784752545,2888.92157599233,CAL_000212
REG_000312,2010-07-01 07:30:00,50.8622353179383,-1701.04454271154,CAL_000536
REG_000313,2010-07-01 07:30:00,59.3621388164086,2881.37329363735,CAL_000211
REG_000314,2010-07-01 07:30:00,64.7885276522002,-1706.80662634805,CAL_000537
REG_000315,2010-07-01 07:30:00,75.1805288214678,2873.9074041702,CAL_000210
REG_000316,2010-07-01 07:30:00,78.7256277898499,-1712.57318177544,CAL_000538
REG_000317,2010-07-01 07:30:00,90.8295617317963,2866.52144706971,CAL_000209
REG_000318,2010-07-01 07:30:00,92.6756738015594,-1718.34509363276,CAL_000539
REG_000319,2010-07-01 07:30:00,106.314288699122,2859.21303831699,CAL_000208
REG_000320,2010-07-01 07:30:00,106.640811679871,-1724.12324983678,CAL_000540
REG_000321,2010-07-01 07:30:00,120.623196666287,-1729.90854213108,CAL_000541
REG_000322,2010-07-01 07:30:00,121.639605818759,2851.97986707595,CAL_000207
REG_000323,2010-07-01 07:30:00,134.624994590431,-1735.70186664014,CAL_000542
REG_000324,2010-07-01 07:30:00,136.810260819771,2844.81969253572,CAL_000206
