timestamp,axis_direction,search_id,final_feasible_search_coordinate_kw,final_violating_search_coordinate_kw,final_feasible_signed_pcc_coordinate_kw,final_violating_signed_pcc_coordinate_kw,axis_bracket_width_kw,bisection_steps,binding_mechanism,binding_bus,resolution_classification
2012-08-24 12:00:00,P30+,P30_POSITIVE,2150.9375,2151.25,2150.9375,2151.25,0.3125,9,BINDING_VMAX,30,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2012-08-24 12:00:00,P30-,P30_NEGATIVE,2390.3125,2390.46875,-2390.3125,-2390.46875,0.15625,10,BINDING_VMIN,33,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2010-07-02 17:30:00,P13+,P13_POSITIVE,2493.4375,2493.75,2493.4375,2493.75,0.3125,9,BINDING_VMAX,13,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2010-07-02 17:30:00,P13-,P13_NEGATIVE,714.375,714.53125,-714.375,-714.53125,0.15625,8,BINDING_VMIN,18,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2010-07-02 17:30:00,P30+,P30_POSITIVE,3538.4375,3538.75,3538.4375,3538.75,0.3125,10,BINDING_VMAX,30,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2010-07-02 17:30:00,P30-,P30_NEGATIVE,1090.625,1090.9375,-1090.625,-1090.9375,0.3125,8,BINDING_VMIN,33,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2012-08-05 23:30:00,P13+,P13_POSITIVE,1559.53125,1559.6875,1559.53125,1559.6875,0.15625,9,BINDING_VMAX,13,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2012-08-05 23:30:00,P13-,P13_NEGATIVE,1610.9375,1611.09375,-1610.9375,-1611.09375,0.15625,10,BINDING_VMIN,18,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2012-08-05 23:30:00,P30+,P30_POSITIVE,2222.1875,2222.5,2222.1875,2222.5,0.3125,9,BINDING_VMAX,30,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2012-08-05 23:30:00,P30-,P30_NEGATIVE,2323.4375,2323.75,-2323.4375,-2323.75,0.3125,9,BINDING_VMIN,33,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
